,address,year,day,length,weight,count,looped,neighbors,income,label
0,111K8kZAEnJg245r2cM6y9zgJGHZtJPy6,2017,11,18,0.0083333333333333,1,0,2,100050000.0,princetonCerber
1,1123pJv8jzeFQaCV4w644pzQJzVWay2zcA,2016,132,44,0.000244140625,1,0,1,100000000.0,princetonLocky
2,112536im7hy6wtKbpH1qYDWtTyMRAcA2p7,2016,246,0,1.0,1,0,2,200000000.0,princetonCerber
3,1126eDRw2wqSkWosjTCre8cjjQW8sSeWH7,2016,322,72,0.00390625,1,0,2,71200000.0,princetonCerber
4,1129TSjKtx65E35GiUo4AYVeyo48twbrGX,2016,238,144,0.0728484071989931,456,0,1,200000000.0,princetonLocky
5,112AmFATxzhuSpvtz1hfpa3Zrw3BG276pc,2016,96,144,0.0846139993386755,2821,0,1,50000000.0,princetonLocky
6,112E91jxS2qrQY1z78LPWUWrLVFGqbYPQ1,2016,225,142,0.0020885186101272,881,0,2,100000000.0,princetonCerber
7,112eFykaD53KEkKeYW9KW8eWebZYSbt2f5,2016,324,78,0.00390625,1,0,2,100990000.0,princetonCerber
8,112FTiRdJjMrNgEtd4fvdoq3TC33Ah5Dep,2016,298,144,2.3028283088657,4220,0,2,80000000.0,princetonCerber
9,112GocBgFSnaote6krx828qaockFraD8mp,2016,62,112,3.7252902984619103e-09,1,0,1,50000000.0,princetonLocky
10,112gXL4AeJ62DX3htuLhBc3MtY5U6X5J28,2013,317,4,0.0071428571428571,2,0,1,100000000.0,montrealCryptoLocker
11,112nEBUadWiMxzUUASNZpQ9AvePtrJVuca,2016,247,0,1.0,1,0,2,108560000.0,princetonCerber
12,112Ns49UobQn1cX1G1axs1cmGvjFBxVxvf,2016,146,144,0.877484787195917,4817,0,1,104020000.0,montrealCryptXXX
13,112vq2Wt7Mo8RD5jCKMR2PFNxAoT17ffxD,2017,3,4,0.015625,1,0,2,56000000.0,princetonCerber
14,112wED5uHhY1aiSaWAzgeMDaCKFcCvj9Pn,2016,158,56,3.0517578125e-05,1,0,1,120000000.0,montrealCryptXXX
15,112wED5uHhY1aiSaWAzgeMDaCKFcCvj9Pn,2016,156,8,0.75,2,0,4,240000000.0,montrealCryptXXX
16,112wjYgWapZU8gTPR7hLoKq8iEh496vKxP,2016,273,144,0.0087467521090395,1168,0,1,550000000.0,princetonLocky
17,1131P1hjj7h9NinHRCkNwGFifK4gGoe5EF,2016,56,4,0.145833333333333,4,0,1,500000000.0,princetonLocky
18,1132fapAqQVQJjZipWzJPKYxF4LNSDEvuc,2016,165,10,0.0119047619047619,1,0,2,200000000.0,princetonCerber
19,1136MFiqBmoVWpqWr1okF3D5XMabwVLB5z,2016,109,0,0.5,1,0,1,101000000.0,princetonLocky
20,11382a48qWatCiSqVNBFzuKN91M7Dcdev,2016,79,2,0.25,1,0,1,50000000.0,princetonLocky
21,113aZAjq9fkTY3qeBE4C3ojrXyQFKg5Nnd,2016,127,144,1.19247243902225,3352,0,2,200000000.0,princetonCerber
22,113bivxFjurkAoWEfVeJ4jawK9fQtn3yRF,2017,21,0,0.5,1,0,2,99950000.0,princetonCerber
23,113DQh713pR9rsEWTgae9DGfVzY5f17Sbj,2016,250,0,0.5,1,0,1,200000000.0,princetonLocky
24,113ESVqntvYprqQbsPN6tEmtE1bB44uokS,2016,155,6,0.5,6,0,2,120000000.0,montrealCryptXXX
25,113i99LGHX2ZzBed1SaMpnqb6ruRgbBwMc,2014,65,144,0.243360433696763,1944,0,1,128898352.0,paduaCryptoWall
26,113i99LGHX2ZzBed1SaMpnqb6ruRgbBwMc,2014,81,14,0.0104166666666667,1,0,2,34555818.0,paduaCryptoWall
27,113jYnToJJmGiLyQZMpyCZTYSb5GXFZ4tN,2017,46,8,0.0069444444444444,1,1,2,80000000.0,princetonCerber
28,113M2D2P1Riyke3CHaBBF14F7AB7pQ8Dz3,2013,330,4,0.25,1,0,1,50000000.0,montrealCryptoLocker
29,113nP4t4ayne9A5MkZEa72GEBgkqLXZGkE,2016,256,144,0.291800154804576,1380,0,2,85140000.0,princetonCerber
30,113NT2GAbQRzT5qLfo9ovmxVuPwDbchoiV,2016,218,0,0.125,1,0,2,104380000.0,princetonCerber
31,113QcTeGajE3YMKU1JD7QMRgkuKFFsHkiG,2016,52,144,0.0998775974626409,8120,0,1,50057953.0,princetonLocky
32,113U6pALuJkFE3mTmMWzBfYk5AUjDDfvXC,2016,289,14,0.0625,1,0,2,78480000.0,princetonCerber
33,113uHEU5oFygrXY6GR43DrJmy4tFQ1Gcdr,2016,266,144,1.60714648954072,5605,3283,2,168320000.0,princetonCerber
34,113xQVVssnSTggjXtntNy4RvZ1rs46ehub,2016,348,12,0.05,1,0,2,81700000.0,princetonCerber
35,113y9h8ch6wASL3DE4WDysDVxXa4LsNkH3,2016,89,144,0.132853303267431,871,0,1,400000000.0,princetonLocky
36,1143t96LASL6q6UMAJKQKd5BLkeV6Q19ys,2016,85,144,0.0036332931983673,2515,0,1,300000000.0,princetonLocky
37,11445ybEvoBuFCnaYGni4KQDgKRZ3huiJX,2016,68,6,0.25,1,0,1,50000000.0,princetonLocky
38,1147GrWQh7yW91kV65QP8BhFiGQQKuW3n5,2013,316,6,1.25,3,0,1,199990000.0,montrealCryptoLocker
39,114BqWjEYTXuVzFAEc4qdz72j3muFPMSfH,2016,49,20,0.0625,3,0,1,99990000.0,princetonLocky
40,114DARz595UwHRrWjR2mufuUCBifgHTHEw,2016,51,42,0.00048828125,1,0,1,50000000.0,princetonLocky
41,114eDjVXXAQKVEnnJLTrCmTDzh7WSsTGz1,2014,81,0,0.5,1,0,2,300000000.0,paduaCryptoWall
42,114ey7aLiid4RDdCYEp3GjAtWX3oRz7eqj,2016,336,12,0.25,1,0,2,100000000.0,princetonCerber
43,114gGmini5G9hEwEkWtKXoQqT1D6S5AJvU,2016,137,0,1.0,1,0,2,119990000.0,montrealCryptXXX
44,114LhnRzAbZPniMmdBwqQ6QMYjxYFX8Qxb,2017,47,144,0.0134695231193851,3645,0,2,60050000.0,princetonCerber
45,114ngXYgYz3gLAaumxKUZM42KR4HzsDdjn,2016,88,144,0.347737825120733,2614,0,1,300000000.0,princetonLocky
46,114ocYENUbxs7EsJLCiDMeGzYtVzjAZbeZ,2016,106,4,2.0,2,0,2,125000000.0,princetonCerber
47,114omc8xdDgEfraC3Q7bEbujc6BRy9VsVJ,2017,198,144,0.103125315305991,4910,0,2,40000000.0,princetonCerber
48,114pDLxwCMHCrWSWinhy6ij7aZFaAssEFs,2016,321,0,0.333333333333333,1,0,2,100000000.0,princetonCerber
49,114pv9hdWsQqj8eNNm2a4rJ2eiCSatXJmg,2017,35,24,0.000244140625,1,0,2,80000000.0,princetonCerber
50,114SCq4wvHgH4NZ2DdaXyqBAtBSxpVB8Wo,2016,178,24,2.17013888888889e-05,1,0,2,31820000.0,princetonCerber
51,114sRec7rRdyacs5RVY41WVjLmqiFMVVRm,2016,279,50,0.0001220703125,1,0,2,100000000.0,princetonCerber
52,114T9gEoJ7G9LGoAL9wDT1nBGGQm3hiSJy,2016,125,0,0.5,1,0,1,410000000.0,princetonLocky
53,114TqaapeRvrQzuwsxQHxLWsg7uYWewx3c,2014,127,0,1.0,1,0,1,68618992.0,paduaCryptoWall
54,114TqaapeRvrQzuwsxQHxLWsg7uYWewx3c,2014,80,0,1.0,1,0,2,112137426.0,paduaCryptoWall
55,114TqRY9x6byYf5HZcBdoDfHUZX68tdgTG,2016,120,144,1.6622799760007202e-09,510,0,1,510000000.0,princetonLocky
56,11537czwp6pSjA8MtTUWmxdxhtVfrPefCx,2016,156,0,0.5,1,0,2,100000000.0,princetonCerber
57,1154LSM4xWaAY8shZj7jdmP4coWKD16S5f,2016,84,2,0.5,1,0,2,410000000.0,princetonLocky
58,1156mWEnJ8gK9kn2UdpPUcavyqC39mZxPw,2016,126,4,0.0054347826086956,1,0,1,300000000.0,princetonLocky
59,115fa27QgAruE6q9k8SNAc4fadsNoAUiNv,2016,103,0,0.5,1,0,2,125000000.0,princetonCerber
60,115ia9StrwWqT6xJ9Sd92hm6rA4EBPsE3W,2016,75,2,0.0178571428571429,4,0,1,50000000.0,princetonLocky
61,115j3623Lx42gyC1h9EygmcqH6m6bgDiKy,2016,111,6,0.0833333333333333,1,0,1,150000000.0,princetonLocky
62,115N2mKEoCBYMT3J64iwXmZ95UPjU8QmZX,2017,2,26,0.00390625,1,0,2,56000000.0,princetonCerber
63,115ncTmF1r86UqNVNiuTbSrg36C9WpbQyg,2016,182,2,0.5,1,0,1,122000000.0,montrealCryptXXX
64,115ncTmF1r86UqNVNiuTbSrg36C9WpbQyg,2016,168,144,0.407676468162351,3060,0,2,120000000.0,montrealCryptXXX
65,115ncTmF1r86UqNVNiuTbSrg36C9WpbQyg,2016,163,4,0.333333333333333,1,0,2,120000000.0,montrealCryptXXX
66,115ncTmF1r86UqNVNiuTbSrg36C9WpbQyg,2016,160,144,0.148448866915888,4309,0,2,119989395.0,montrealCryptXXX
67,115ncTmF1r86UqNVNiuTbSrg36C9WpbQyg,2016,161,0,0.2,1,0,2,120000000.0,montrealCryptXXX
68,115nw4hbAbwBSUfVhfF6EWvf4AcAcmD6p4,2017,162,0,0.5,1,0,2,40000000.0,princetonCerber
69,115p7UMMngoj1pMvkpHijcRdfJNXj6LrLn,2017,141,0,1.0,1,0,1,30627600.0,montrealWannaCry
70,115p7UMMngoj1pMvkpHijcRdfJNXj6LrLn,2017,139,144,1.03147401694529,8973,0,2,64478999.0,montrealWannaCry
71,115p7UMMngoj1pMvkpHijcRdfJNXj6LrLn,2017,135,144,0.0030656125660645,7463,0,1,35149432.0,montrealWannaCry
72,115p7UMMngoj1pMvkpHijcRdfJNXj6LrLn,2017,133,6,0.0979166666666667,3,0,1,34490605.0,montrealWannaCry
73,115p7UMMngoj1pMvkpHijcRdfJNXj6LrLn,2017,137,144,1.50002019849034,9866,0,2,70477658.0,montrealWannaCry
74,115p7UMMngoj1pMvkpHijcRdfJNXj6LrLn,2017,138,144,0.0155812792531542,3079,0,1,33000000.0,montrealWannaCry
75,115p7UMMngoj1pMvkpHijcRdfJNXj6LrLn,2017,136,2,1.0,1,0,1,33534612.0,montrealWannaCry
76,115qagP17Sd6EPapsyszneKf6i4Kkax1gR,2014,80,0,1.0,1,0,2,125290000.0,paduaCryptoWall
77,115SJrbKZujZujQJpJGBEJMzr1LybnXVEu,2016,109,0,0.5,1,0,2,30190000.0,princetonCerber
78,115SJrbKZujZujQJpJGBEJMzr1LybnXVEu,2016,108,8,0.5,1,0,2,89990000.0,princetonCerber
79,115vefbFY2PCL4cYAoCcCB4TcjUGnrgLKw,2016,53,144,0.287264109156846,7493,0,1,100000000.0,princetonLocky
80,11697Zq8pAWXEXAbh2zvPTfVt6Vn7DAMzw,2016,120,144,0.100245451307577,1723,0,1,150000000.0,princetonLocky
81,1169bxadw4JaEe34sNhcDz38AugtLGp965,2016,223,82,7.450580596923831e-09,1,0,1,250000000.0,princetonLocky
82,116AZEfaPi8tbczYYcSdgG4KtEYAitbCfD,2017,74,18,0.125,1,0,2,100000000.0,princetonCerber
83,116CD6FiyD8JTJ6iLRWJP1BubaJthVEYFV,2016,116,144,2.01922878420796e-05,434,0,2,125000000.0,princetonCerber
84,116CZ3t7REDPhGLjBdk7U84nWLAjpaAqay,2017,32,2,0.5,1,0,2,63250000.0,princetonCerber
85,11Dvz6Wh7RcmU6ffqdhQLoe6xvQmvwKAC,2014,80,4,0.576923076923077,2,0,2,164012438.0,paduaCryptoWall
86,11jLeJp6eGET8H3JPDWFBtka3jpYbBHC7,2017,55,144,0.100061725098922,6277,0,2,100000000.0,princetonCerber
87,11mBErpPx1pJNQyLnZDoNwVxhqTwTeHfU,2016,158,0,1.0,1,0,2,120000000.0,montrealCryptXXX
88,11mBErpPx1pJNQyLnZDoNwVxhqTwTeHfU,2016,135,8,0.03125,1,0,2,120000000.0,montrealCryptXXX
89,11mf37Gyg1Ju6NS7uF8BoynVfUigriNh7,2016,120,144,0.346633511888777,3710,0,2,145410000.0,princetonCerber
90,11MvtJdLMh55y3RnS7iPaCra7JS6vZsEF,2016,96,0,1.0,1,0,1,300000000.0,princetonLocky
91,11PPZk89SHxR3p42mrSof5P935vqjEA2C,2013,339,130,0.157963976016599,4557,0,1,49990000.0,montrealCryptoLocker
92,11QtMGVRQht4E4wZDRhxLZbdHgANJzhFX,2016,141,80,7.62939453125e-06,1,0,2,100000000.0,princetonCerber
93,11r5p8FPmLu9zw1XjufDcydG3rjQ6tzJc,2016,273,2,0.0714285714285714,1,0,2,399990000.0,princetonLocky
94,11UC4DMzTR1qQnNEHs9XpotWYAmzs6nBM,2016,57,42,0.0262395411361883,7,0,1,50000000.0,princetonLocky
95,11Us7kVfJS2dzryGJkSaAG4MUBvyvbZHA,2016,319,74,1.9073486328125e-06,1,0,2,100000000.0,princetonCerber
96,11UUivRcVdRJWymipDPB6WzbxzWmL7a3B,2016,52,0,1.0,1,0,1,50000000.0,princetonLocky
97,11WrKpCb9YgyPaV7sPPbX5EcPQf2q8d9Z,2013,338,4,0.5,1,0,1,30000000.0,montrealCryptoLocker
98,1216LTtQB2hhpU431yYifMcmnAmsh6vjz2,2017,55,12,4.82253086419753e-05,1,1,2,80000000.0,princetonCerber
99,121aKu4wARyCjEMrpWb9VfSnF9DWbjjVgn,2016,269,0,1.0,1,0,1,400000000.0,princetonLocky
100,121D2DAFrRGLHoeZDaAT1rjEYj69EknvsT,2016,55,144,0.0402971696881537,2078,0,1,50000000.0,princetonLocky
101,121f43NCvucZnDWWcUFg5geNZE3ZGMeN6f,2016,260,0,0.5,1,0,1,359988700.0,montrealDMALockerv3
102,121G2n8yvEaVy6Gv2CQqs7RN2f4PvfVBtK,2013,250,0,1.0,1,0,1,156418732.0,montrealCryptoLocker
103,121gqN1Spy5BAr9q2NB9K8L1beqzhJyWKG,2016,158,144,0.263433225873688,3148,0,2,199987997.0,princetonCerber
104,121JhGRZGL57JgqXtdsxkUB2kF5Xyz7nPh,2016,274,0,0.5,1,0,1,400000000.0,princetonLocky
105,121MuhNTovhbS2bfNk7cmtXQDwkXG93ExX,2016,285,2,0.0068259385665529,5,0,1,156560000.0,princetonCerber
106,121oZdRWsZ4LKhdwSgzLbK1S7yE7FnMw1x,2016,286,132,9.31322574615479e-10,1,0,2,100000000.0,princetonCerber
107,121P5TiHimHace3ZNuXU4hde9kWqPE1jHC,2016,161,0,0.5,1,0,2,120000000.0,montrealCryptXXX
108,121PMq3EepHkZyUxRoBBMUwrr6vkXdsyFp,2014,85,40,3.39084201388889e-06,1,0,2,298674122.0,paduaCryptoWall
109,121PMq3EepHkZyUxRoBBMUwrr6vkXdsyFp,2014,86,144,3.66701639448874,2251,2,6,241979680.0,paduaCryptoWall
110,121QX41wBNYsmSFEGQ4qnRpNPSai3sUSMZ,2016,280,2,0.0714285714285714,1,0,1,250000000.0,princetonLocky
111,121RWQ6sk36FHcVTbW637ES19rmaZa7jQ7,2017,112,0,1.0,1,0,2,80000000.0,princetonCerber
112,121XywrM8cRm2wcccPU7AbGxAAudHukiQL,2016,229,0,0.125,1,0,2,300000000.0,princetonLocky
113,121zJYMgAb5eEheFEz3oeoBwbJrLpobG2g,2016,125,0,0.333333333333333,1,0,2,125000000.0,princetonCerber
114,1223GLPpMTKXxyGg3WcHpRsPD4JGa7cXVk,2016,160,6,0.0625,1,0,4,240000000.0,montrealCryptXXX
115,1224txnU673nCa5Wxa9JHkpGmreTMfknsA,2016,83,144,0.018390049842532,1454,0,2,100000000.0,princetonLocky
116,122Q8v7EkdLGfho7KuFK5u99mhyp1nkiFm,2016,269,18,1.90519737844841e-05,1,0,2,36000000.0,princetonCerber
117,122w6H5sV2h9dyAwk4rcedF4piGnzmbFFN,2016,195,2,0.5,1,0,1,200000000.0,princetonLocky
118,122xQbcFm6jfrtwfGHdxCdGrmwvUuNXJft,2016,89,8,1.00480769230769,2,0,1,200000000.0,princetonLocky
119,122YcyXExdCbRx7Kdj6GD5ccCmoGgxB3q7,2014,76,2,1.0,1,0,1,51000000.0,paduaCryptoWall
120,122YcyXExdCbRx7Kdj6GD5ccCmoGgxB3q7,2014,72,2,1.0,1,0,2,550000000.0,paduaCryptoWall
121,122YcyXExdCbRx7Kdj6GD5ccCmoGgxB3q7,2014,79,144,0.531650156443305,1958,1189,1,90700000.0,paduaCryptoWall
122,122YcyXExdCbRx7Kdj6GD5ccCmoGgxB3q7,2014,80,0,1.05,2,0,4,830700000.0,paduaCryptoWall
123,122YcyXExdCbRx7Kdj6GD5ccCmoGgxB3q7,2014,73,144,2.87239817812127,1068,1019,6,712391363.0,paduaCryptoWall
124,122YcyXExdCbRx7Kdj6GD5ccCmoGgxB3q7,2014,81,0,1.0,1,0,2,55000000.0,paduaCryptoWall
125,122YcyXExdCbRx7Kdj6GD5ccCmoGgxB3q7,2014,77,6,0.0002741228070175,1,0,1,62000000.0,paduaCryptoWall
126,122YcyXExdCbRx7Kdj6GD5ccCmoGgxB3q7,2014,75,2,1.0,1,0,1,41600000.0,paduaCryptoWall
127,122YcyXExdCbRx7Kdj6GD5ccCmoGgxB3q7,2014,71,6,2.0,3,0,2,410000000.0,paduaCryptoWall
128,122YgLP4YjnfwxJtCc3Kx6NQWh2nu7evfm,2014,71,24,0.510416666666667,3,0,1,80000000.0,paduaCryptoWall
129,122YgLP4YjnfwxJtCc3Kx6NQWh2nu7evfm,2014,78,144,1.05034722222645,1619,0,1,499940000.0,paduaCryptoWall
130,1231w7pJYCa9W9qBSJYNBp6QrTaCSV6YuD,2016,249,0,1.0,1,0,1,400000000.0,princetonLocky
131,1233d91rHpBN8spVJqv42syB72Jzf1gGJb,2016,236,8,0.0625,1,0,1,200000000.0,princetonLocky
132,1234KPsuDZ6n6htPvxYRyzc4ND9iyBGhkY,2016,128,10,0.125,1,0,1,50000000.0,princetonLocky
133,1238Mzucsxe7SiDQSssCLQYppFHHqF3zpi,2016,175,6,0.0015432098765432,1,0,1,200000000.0,princetonLocky
134,123anBkpeHW3dgxCwUxP3zxVRLN8zW1ZqZ,2017,77,0,1.0,1,0,2,90000000.0,princetonCerber
135,123bzPBEJK2N9aoTAU7TRqLbwzmFWq89S7,2016,160,4,0.5,1,0,2,120000000.0,montrealCryptXXX
136,123dhAgb1oMyFHrmxx3YgKdDWTRn6dWBFm,2016,356,144,0.0047244586151088,1443,0,2,68830000.0,princetonCerber
137,123fvLmUcqnFxK3pjrdDePE5R9W9N5VdnS,2017,128,10,0.0260416666666667,2,0,2,60000000.0,princetonCerber
138,123JmhW8mtaRTJJBHFFNxkuyDyyYmozJTd,2016,123,0,1.0,1,0,1,150000000.0,princetonLocky
139,123o19yFFV4MNwjaaKu1d97Cu5Cxfi9SYT,2016,113,2,0.333333333333333,1,0,2,124000000.0,princetonCerber
140,123PnNatuNpuXPfodNdRRmWMEAoaTMH8V1,2013,337,136,0.165048836425631,3393,0,1,77262000.0,montrealCryptoLocker
141,123PnNatuNpuXPfodNdRRmWMEAoaTMH8V1,2013,320,0,1.0,1,0,1,50000000.0,montrealCryptoLocker
142,123PnNatuNpuXPfodNdRRmWMEAoaTMH8V1,2013,315,144,0.337817439251589,1231,0,2,319535425.0,montrealCryptoLocker
143,123PnNatuNpuXPfodNdRRmWMEAoaTMH8V1,2013,338,0,1.0,1,0,1,95137438.0,montrealCryptoLocker
144,123PnNatuNpuXPfodNdRRmWMEAoaTMH8V1,2013,324,12,0.0625,2,0,2,119000000.0,montrealCryptoLocker
145,123r3eATfVPEHABzTMbB7rmmX5UYTTKdzJ,2016,266,4,0.5,1,0,2,35100000.0,princetonCerber
146,123Sdp8rB7C8xJR3u5VX6J3BiyQArtLt7Y,2013,315,2,2.0,3,0,6,400000000.0,montrealCryptoLocker
147,123timpjDfSXHB1kL2dJYTW3YiPAtfh4AF,2014,7,56,0.125474817612592,12,0,1,60000000.0,montrealCryptoLocker
148,123VWsgKcx1cjn5KBepCV26hFXu7TcWfSY,2016,77,4,0.0833333333333333,1,0,2,50000000.0,princetonLocky
149,123zTvjw931gKezg4bMwaBS45YBQjJh3pZ,2016,63,12,8.99749267523101e-05,2,2,1,399500000.0,princetonLocky
150,1242DfZdkjCedkJhwALYfyCftWibn7sxhd,2016,336,26,0.0078125,1,0,2,80000000.0,princetonCerber
151,1245pqeT15C3n48dUJqWXtLJ3jtBXFX9z2,2016,109,38,0.0145112967785494,20,0,2,100000000.0,princetonCerber
152,1246i2CihbSXcLMM67sQgS7xedJFPsuaa2,2016,285,144,0.701677583141993,6722,0,2,100050000.0,princetonCerber
153,1246tUptR5e67CG7MAfPtjVpSdM1dCUH2V,2016,288,0,0.5,1,0,1,150000000.0,princetonLocky
154,1246v8SAeajt6k3QFVzp4My8U13PLZTyV4,2016,160,144,0.960834983028059,4820,10,2,59895323.0,montrealCryptXXX
155,124ap6uHgT5MeB1L5FPUENhQ2DdG4boyy3,2016,208,4,0.125,1,0,1,250000000.0,princetonLocky
156,124BcwPQtUGAFzuh3mLi1VxGD6Yy2sfb3S,2017,46,12,0.0625,1,0,2,30665983.0,princetonCerber
157,124bNuUqL2WHwhq6fBMv7s4ydvL8q57AdN,2013,189,0,1.0,1,0,2,158011739.0,montrealCryptoLocker
158,124CHLbPZ61W9n3T6a1cWT9YX298ijTdU7,2013,318,14,0.0001685185185185,2,0,2,100000000.0,montrealCryptoLocker
159,124cUCq1tkYhFf39NAnN6dYRwkLrvBNLAx,2016,137,144,0.988094058920083,5659,2973,2,71248142.0,montrealCryptXXX
160,124EhTSKcd4M1RNisFp7hpkmEj6UEqLq1H,2016,89,144,0.183951646090535,1566,0,1,300000000.0,princetonLocky
161,124jbjnjjy8t42BDmaBd8kx6fJc2CTfdeE,2016,124,144,0.285853572499912,2228,0,1,200000000.0,princetonLocky
162,124mKpjUJzXQ4PBZF3bnGKdYmDYhZaZKb6,2016,159,36,0.015625,1,0,1,120000000.0,montrealCryptXXX
163,124MQoF3Keo4m7D6fVYBXCAczPeNX23tRf,2014,81,144,0.222016272736747,1461,0,1,171469611.0,paduaCryptoWall
164,124MQoF3Keo4m7D6fVYBXCAczPeNX23tRf,2014,84,6,0.0555555555555556,1,0,2,72289157.0,paduaCryptoWall
165,124mtgNTJmEQqCpqB1yFh6go8MTrFnUcX2,2017,27,144,0.362539460019789,4807,0,2,196066608.0,princetonCerber
166,124o14rxNyvFMQM8yJuJFcKprxPtVHq8H5,2016,137,0,0.5,1,0,2,70000000.0,princetonCerber
167,124pf8wT7SGfKENQ2o4wYEgJC3tA3U5b5W,2016,125,144,0.0198700373336465,7503,0,2,125000000.0,princetonCerber
168,124RvAEuuCptkzZEEttPxXvH6tSnXJ3XN5,2017,60,36,0.00390625,1,0,2,100050000.0,princetonCerber
169,124srvGnUNzg1AAiXYgoQj2PwocehAJLX9,2016,155,0,1.0,1,0,2,120000000.0,montrealCryptXXX
170,124srvGnUNzg1AAiXYgoQj2PwocehAJLX9,2016,160,2,0.5,1,0,2,120000000.0,montrealCryptXXX
171,124XtfRqTrw1HP1g15z15cVXB38T3EwUZR,2016,99,0,0.5,1,0,1,410000000.0,princetonLocky
172,1251GTBafwFoEKc9XffTnaGAhyM1V1op3G,2016,161,0,0.5,1,0,2,120050000.0,montrealCryptXXX
173,12524A8PP7PFcDXa9BpGHqhPuVcciCvCn8,2016,56,144,0.0781250196254975,9543,0,1,50000000.0,princetonLocky
174,12538pAHvNXTgpZq1vFJ3xmdi1mK9Z4sJo,2017,54,4,0.0277777777777778,1,0,2,100000000.0,princetonCerber
175,125AdRL3iYR4dDnoyUAv7nqNMYsC7sZcYz,2017,135,4,1.0,1,0,2,74872880.0,princetonCerber
176,125AoxRRMZz5GpASK5sCChATKfNvbSzBF5,2016,84,0,0.5,1,0,2,100000000.0,princetonLocky
177,125Bt91xWLH9AfB1UB3e14Ew17A9Y3id1X,2016,160,4,3.0,3,0,2,125000000.0,princetonCerber
178,125CumpADmsyhByPszDem7Bda7XhZ8Sc7q,2016,120,144,0.0104768124845657,3561,0,2,125000000.0,princetonCerber
179,125DiUeg9dQ4LXfTJRYaSafYAbWPawooEd,2016,138,44,0.25,1,0,2,120000000.0,montrealCryptXXX
180,125DiUeg9dQ4LXfTJRYaSafYAbWPawooEd,2016,145,0,0.5,1,0,2,120000000.0,montrealCryptXXX
181,125DiUeg9dQ4LXfTJRYaSafYAbWPawooEd,2016,133,122,0.0004892349245437,5,0,2,120000000.0,montrealCryptXXX
182,125DiUeg9dQ4LXfTJRYaSafYAbWPawooEd,2016,134,74,4.76837158203125e-07,1,0,2,120000000.0,montrealCryptXXX
183,125DQSTKMArzmkBUfoj8GLPsR25ypby6Xz,2013,311,0,0.5,1,0,2,100000000.0,montrealCryptoLocker
184,125DQSTKMArzmkBUfoj8GLPsR25ypby6Xz,2013,337,22,0.0078125,1,0,2,70620000.0,montrealCryptoLocker
185,125DU467DRf6JBvS2Q49jsYdY4ZvVGBbUc,2016,226,0,1.0,1,0,1,410939493.0,princetonLocky
186,125earjdxmmE8Yhszv4dqmrH3jUzSG9DJH,2016,137,44,1.52587890625e-05,1,0,2,120000000.0,montrealCryptXXX
187,125earjdxmmE8Yhszv4dqmrH3jUzSG9DJH,2016,140,0,0.25,1,0,2,120000000.0,montrealCryptXXX
188,125earjdxmmE8Yhszv4dqmrH3jUzSG9DJH,2016,134,2,0.666666666666667,2,0,4,240000000.0,montrealCryptXXX
189,125EwHm5Epaxay8A3NWtVTc1oKmHVRsnDu,2015,198,14,0.015625,1,0,1,250833124.0,paduaCryptoWall
190,125EwHm5Epaxay8A3NWtVTc1oKmHVRsnDu,2015,175,144,0.186363137663486,2973,0,1,208000000.0,paduaCryptoWall
191,125EwHm5Epaxay8A3NWtVTc1oKmHVRsnDu,2015,248,2,0.25,1,0,1,318000000.0,paduaCryptoWall
192,125EwHm5Epaxay8A3NWtVTc1oKmHVRsnDu,2015,246,8,0.015625,3,0,1,318000000.0,paduaCryptoWall
193,125EwHm5Epaxay8A3NWtVTc1oKmHVRsnDu,2015,195,132,1.13686837721616e-13,1,0,1,250000000.0,paduaCryptoWall
194,125EwHm5Epaxay8A3NWtVTc1oKmHVRsnDu,2015,247,4,0.25,1,0,1,226415235.0,paduaCryptoWall
195,125FCpENaKRu95psPP8gETM9u2EmvfAhF2,2013,284,90,0.625000007450581,5,0,1,200000000.0,montrealCryptoLocker
196,125LPRJuPss9H6ZiaY8NBngn4VsKfS5fxo,2016,135,0,0.5,1,0,2,64882935.0,princetonCerber
197,125MojD5wAy6YdZMwgWGPhv3WuhzDEgMue,2016,168,4,1.0,1,0,2,74030000.0,princetonCerber
198,125nzBhomPsMxSt4KwJZzBwE2ZEaDPi3ip,2014,79,0,1.0,1,0,2,144066297.0,paduaCryptoWall
199,125vS1drhzddwkCAZfrMUjxMBU8xJ7Be9v,2013,284,0,1.0,1,0,1,200000000.0,montrealCryptoLocker
